JCAT,Name,TDate,Program,Category,Result
S00520,,1962 Dec 16?,AFTRACK,SIG,S
S00522,,1963 Jan  4,E-6,PLAN,F
S00525,,1963 Jan 11,CORONA M,IMG,S
S00527,,1963 Jan 18,SAMOS F-2,SIG,S
S00533,,1964 Jan,P35,MET,S
S00553,[Syncom I],1963 Feb 14,Syncom,COM,F
S00554,Cosmos 13,1963 Mar 29 0635?,Zenit-2 LKI,IMG,S
S00562,,1963 Apr  5,CORONA M,IMG,S
S00564,[Explorer XVII],1963 Oct  7,Explorer AE,SCI,S
S00566,Luna 4,1963 Apr 15,E-6,PLAN,F
S00567,Kosmos-14,1963?,Omega-1,TECH,S
S00569,Kosmos-15,1963 Apr 27 0645?,Zenit-2 LKI,IMG,S
S00571,Kosmos-16,1963 May  8 0650?,Zenit-2 LKI,IMG,S
S00573,[Telstar II],1965 May  7,TSX,COM,S
S00574,,1963 Jun 25,Midas ETS-III,EW,S
S00576,[Faith 7],1963 May 16 2324,Mercury MA,SS,S
S00578,,1963 May 20,LANYARD,IMG,S
S00579,,1963 Aug  9,TRS I,TECH,S
S00580,Cosmos 17,1963 May 30,DS-A1,EW,S
S00586,Cosmos 18,1963 Jun  2 0748?,Zenit-2 LKI,IMG,S
S00589,[DASH],1963 May  9,DASH,CAL,S
S00590,,1963 Jun 16,CORONA M,IMG,F
S00591,Vostok 5,1963 Jun 19 1059,Vostok3A,SS,S
S00593,,1963 Jul 20,AFTRACK,SIG,S
S00594,,1974 Aug 14,Transit 5,NAV,S
S00595,Vostok 6,1963 Jun 19 0815,Vostok3A,SS,S
S00597,,1963 Jul  5,SURCAL,CAL,S
S00598,,1963 Jul 27,POPPY,SIG,S
S00599,[Solar Rad IV],1963 Aug  1,POPPY,SIG,S
S00600,,1963 Jul 30,POPPY,SIG,S
S00601,[Lofti IIA],1963 Jul 18,Lofti,TECH,S
S00604,[Tiros VII],1968 Jun  1,Tiros E,MET,S
S00608,,1963 Aug  6,TRS I,TECH,S
S00609,,1963 Jul  1,CORONA M,IMG,S
S00612,,1963 Jun 29,AFCRL,SCI,S
S00613,,1963 Jul  9,SAMOS F-2,SIG,S
S00614,[Hitchhiker],1963 Sep,EHH A,SCI,S
S00618,,1963 Jul 13,AFP-206,IMG,S
S00621,,1963 Jul 23,CORONA M,IMG,S
S00622,,1963 Jul 30,Midas ETS-III,EW,S
S00624,,1963 Jul 19,DASH,CAL,S
S00626,,1963 Aug  2,LANYARD,IMG,S
S00629,,1963 May 15,Westford TP,COM,S
S00632,Cosmos 19,1964 Mar 30,DS-P1,CAL,S
S00634,[Syncom II],1969 Apr,Syncom,COM,S
S00635,,1963 Nov  7,TRS I,TECH,S
S00636,,1963 Sep  6,CORONA J,IMG,S
S00637,,1963 Sep  1,CORONA ARGON,IMG,S
S00638,,1963 Aug 29?,1SMT,TECH,S
S00641,,1963 Sep  8,AFP-206,IMG,S
S00668,,1963 Oct  4,CORONA J,IMG,S
S00670,,1963 Dec 22,Transit 5,NAV,S
S00671,,1974 Nov,Transit 5E,SCI,S
S00673,Cosmos 20,1963 Oct 26 0710?,Zenit-2 LKI,IMG,S
S00674,,1969 Jun,Vela,EW,S
S00675,,1964?,TRS II,SCI,S
S00677,,1963 Oct 27,AFP-206,IMG,S
S00681,,1963 Nov  6,CORONA ARGON,IMG,S
S00682,,1965 May 11,EHH A,SCI,S
S00683,Polet 1,1963 Nov,IS Polyot,TECH,S
S00687,Cosmos 21,1963 Nov 11,3MV,PLAN,F
S00689,Cosmos 22,1963 Nov 22 0945?,Zenit-4,IMG,S
S00692,,1968 Aug?,Vela,EW,S
S00693,[Explorer XVIII],1965 Mar 25,IMP,SCI,S
S00694,[Centaur 2],1963 Nov 27,AC,TECH,S
S00695,,1963 Dec  2,CORONA M,IMG,U
S00704,,1971?,Transit 5,NAV,U
S00705,,1964 Mar  9,Transit 5E,SCI,U
S00707,Cosmos 23,1964?,Omega-1,TECH,U
S00711,,1963 Dec 18,AFP-206,IMG,U
S00712,Cosmos 24,1963 Dec 28 0740?,Zenit-2 A,IMG,U
S00714,[Explorer XIX],1963 Dec 19,Explorer AD,SCI,U
S00716,[Tiros VIII],1967 Jun 30,Tiros E,MET,U
S00718,,1963 Dec 26,CORONA M,IMG,U
S00719,,1964 Mar 12,EHH A,SCI,U
