JCAT,Name,TDate,Program,Category,Result
S52877,Starlink-4214,,Starlink 1.5 G4,COM,S
S52878,Starlink-4171,,Starlink 1.5 G4,COM,S
S52879,Starlink-4139,,Starlink 1.5 G4,COM,S
S52880,Starlink-4186,,Starlink 1.5 G4,COM,S
S52881,Starlink-4192,2024 Aug 27,Starlink 1.5 G4,COM,S
S52882,Starlink-4181,,Starlink 1.5 G4,COM,S
S52887,SARah-1,,SAR-Lupe,IMG-R,S
S52888,Globalstar M087,,Globalstar-2,COM,S
S52889,USA 328,,NRO Star P,SIG?*,S
S52890,USA 329,,NRO Star P,SIG?*,S
S52891,USA 330,,NRO Star P,SIG?*,S
S52892,USA 331,,NRO Star P,SIG?*,S
S52894,PVSAT,,Nuri,TECH,S
S52895,KSLV-II FT2 Dummy Payload,2022 Jun 21,Nuri,TECH,S
S52897,STEP Cube Lab-II,2022 Jul  1,Chosun,TECH,S
S52898,RANDEV,,KAIST Cube,TECH,S
S52899,SNUGLITE-II,2022 Jul?,SNU,TECH,S
S52900,MIMAN,,Yonsei,TECH,S
S52901,Tianxing-1,2023 Mar,CAS,SCI?,S
S52903,CMS-02,,GSAT I3K,COM,S
S52904,Measat 3D,,Measat,COM,S
S52907,Yaogan 35 02 zu 01 xing,,YG-35AB,SIG,S
S52908,Yaogan 35 02 zu 03 xing,,YG-35C,SIG,S
S52909,Yaogan 35 02 zu 02 xing,2022 Nov 27?,YG-35AB,SIG,S
S52910,Deorbit sail test,2023 Mar?,SAST LV,TECH,S
S52912,Gao Fen 12-03,,JB-5,IMG-R,S
S52914,Capstone,,Ames Lunar,PLAN,S
S52916,Lunar Photon,2022 Jul 27,Photon,PLAN,S
S52917,NACHOS-1,2023 Jan?,LANL Sci,EOSCI,S
S52933,SES-22,,SES,COM,S
S52935,DS-EO,,DSTA Img,IMG,S
S52937,NeuSAR,2025 May?,DSTA SAR,IMG-R,S
S52938,SCOOB-I,2022 Jun 30,NTU,AST,F
S52939,PSLV-C53 R/B,,ISRO Aux,TECH,S
S52940,USA 332,,WFOV,EW,S
S52941,USA 333,,LDPE,TECH,S
S52944,Recurve,2024 Jul?,AFRL Cube,TECH,S
S52945,NACHOS-2,2024 Jun?,LANL Sci,EOSCI,S
S52947,Slingshot 1,2024 Aug?,Aerocube,TECH,S
S52948,GPX-2,2024 Apr?,LARC Cube,TECH,S
S52949,MISR-B 1,2023 Sep?,MISR,IMG?,S
S52950,CTIM-FD,2023 Nov?,UCO,AST,S
S52951,Gunsmoke-L,2023 Dec?,Gunsmoke,COM,S
S52983,AP-JOEY,2022 Jul  7,Nuri,TECH,S
S52984,Kosmos-2557 (Glonass-K 16L),,Uragan-K,NAV,S
S52986,Starlink-4260,,Starlink 1.5 G4,COM,S
S52987,Starlink-4259,,Starlink 1.5 G4,COM,S
S52988,Starlink-4291,,Starlink 1.5 G4,COM,S
S52989,Starlink-4293,,Starlink 1.5 G4,COM,S
S52990,Starlink-4286,,Starlink 1.5 G4,COM,S
S52991,Starlink-4285,,Starlink 1.5 G4,COM,S
S52992,Starlink-4269,,Starlink 1.5 G4,COM,S
S52993,Starlink-4264,,Starlink 1.5 G4,COM,S
S52994,Starlink-4256,,Starlink 1.5 G4,COM,S
S52995,Starlink-4296,,Starlink 1.5 G4,COM,S
S52996,Starlink-4295,,Starlink 1.5 G4,COM,S
S52997,Starlink-4301,2024 Jul  9?,Starlink 1.5 G4,COM,S
S52998,Starlink-4254,,Starlink 1.5 G4,COM,S
S52999,Starlink-4217,,Starlink 1.5 G4,COM,S
S53000,Starlink-4194,,Starlink 1.5 G4,COM,S
S53001,Starlink-4190,,Starlink 1.5 G4,COM,S
S53002,Starlink-4121,,Starlink 1.5 G4,COM,S
S53003,Starlink-4255,,Starlink 1.5 G4,COM,S
S53004,Starlink-4253,,Starlink 1.5 G4,COM,S
S53005,Starlink-4288,,Starlink 1.5 G4,COM,S
S53006,Starlink-4290,,Starlink 1.5 G4,COM,S
S53007,Starlink-4215,,Starlink 1.5 G4,COM,S
S53008,Starlink-4275,,Starlink 1.5 G4,COM,S
S53009,Starlink-4277,,Starlink 1.5 G4,COM,S
S53010,Starlink-4263,,Starlink 1.5 G4,COM,S
S53011,Starlink-4265,,Starlink 1.5 G4,COM,S
S53012,Starlink-4271,,Starlink 1.5 G4,COM,S
S53013,Starlink-4177,,Starlink 1.5 G4,COM,S
S53014,Starlink-4183,,Starlink 1.5 G4,COM,S
S53015,Starlink-4262,,Starlink 1.5 G4,COM,S
S53016,Starlink-4283,,Starlink 1.5 G4,COM,S
S53017,Starlink-4281,,Starlink 1.5 G4,COM,S
S53018,Starlink-4279,,Starlink 1.5 G4,COM,S
S53019,Starlink-4282,,Starlink 1.5 G4,COM,S
S53020,Starlink-4287,,Starlink 1.5 G4,COM,S
S53021,Starlink-4203,2024 Dec  7?,Starlink 1.5 G4,COM,S
S53022,Starlink-4216,,Starlink 1.5 G4,COM,S
S53023,Starlink-4284,,Starlink 1.5 G4,COM,S
S53024,Starlink-4289,,Starlink 1.5 G4,COM,S
S53025,Starlink-4218,,Starlink 1.5 G4,COM,S
S53026,Starlink-4119,,Starlink 1.5 G4,COM,S
S53027,Starlink-4158,,Starlink 1.5 G4,COM,S
S53028,Starlink-4161,2022 Aug 13?,Starlink 1.5 G4,COM,S
S53029,Starlink-4143,,Starlink 1.5 G4,COM,S
S53030,Starlink-4160,,Starlink 1.5 G4,COM,S
S53031,Starlink-4137,,Starlink 1.5 G4,COM,S
S53032,Starlink-4115,,Starlink 1.5 G4,COM,S
S53033,Starlink-4167,,Starlink 1.5 G4,COM,S
S53034,Starlink-4151,,Starlink 1.5 G4,COM,S
S53035,Starlink-4157,,Starlink 1.5 G4,COM,S
S53036,Starlink-4155,,Starlink 1.5 G4,COM,S
S53037,Starlink-4153,,Starlink 1.5 G4,COM,S
S53038,Starlink-4156,,Starlink 1.5 G4,COM,S
S53043,Starlink-4362,,Starlink 1.5 G3,COM,S
S53044,Starlink-4349,,Starlink 1.5 G3,COM,S
S53045,Starlink-4350,,Starlink 1.5 G3,COM,S
S53046,Starlink-4331,,Starlink 1.5 G3,COM,S
S53047,Starlink-4352,,Starlink 1.5 G3,COM,S
S53048,Starlink-4355,,Starlink 1.5 G3,COM,S
S53049,Starlink-4345,,Starlink 1.5 G3,COM,S
S53050,Starlink-4343,,Starlink 1.5 G3,COM,S
S53051,Starlink-4336,,Starlink 1.5 G3,COM,S
S53052,Starlink-4341,,Starlink 1.5 G3,COM,S
S53053,Starlink-4337,,Starlink 1.5 G3,COM,S
S53054,Starlink-4339,,Starlink 1.5 G3,COM,S
S53055,Starlink-4338,,Starlink 1.5 G3,COM,S
S53056,Starlink-4314,,Starlink 1.5 G3,COM,S
S53057,Starlink-4252,,Starlink 1.5 G3,COM,S
S53058,Starlink-4317,,Starlink 1.5 G3,COM,S
S53059,Starlink-4320,,Starlink 1.5 G3,COM,S
S53060,Starlink-4305,,Starlink 1.5 G3,COM,S
S53061,Starlink-4308,,Starlink 1.5 G3,COM,S
S53062,Starlink-4311,,Starlink 1.5 G3,COM,S
S53063,Starlink-4307,,Starlink 1.5 G3,COM,S
S53064,Starlink-4313,,Starlink 1.5 G3,COM,S
S53065,Starlink-4312,,Starlink 1.5 G3,COM,S
S53066,Starlink-4309,,Starlink 1.5 G3,COM,S
S53067,Starlink-4306,2025 May 21?,Starlink 1.5 G3,COM,S
S53068,Starlink-4325,,Starlink 1.5 G3,COM,S
S53069,Starlink-4323,,Starlink 1.5 G3,COM,S
S53070,Starlink-4342,,Starlink 1.5 G3,COM,S
S53071,Starlink-4328,,Starlink 1.5 G3,COM,S
S53072,Starlink-4344,,Starlink 1.5 G3,COM,S
S53073,Starlink-4346,,Starlink 1.5 G3,COM,S
S53074,Starlink-4310,,Starlink 1.5 G3,COM,S
S53075,Starlink-4348,,Starlink 1.5 G3,COM,S
S53076,Starlink-4347,,Starlink 1.5 G3,COM,S
S53077,Starlink-4315,2024 Nov  9,Starlink 1.5 G3,COM,S
S53078,Starlink-4322,,Starlink 1.5 G3,COM,S
S53079,Starlink-4327,,Starlink 1.5 G3,COM,S
S53080,Starlink-4330,,Starlink 1.5 G3,COM,S
S53081,Starlink-4326,,Starlink 1.5 G3,COM,S
S53082,Starlink-4321,,Starlink 1.5 G3,COM,S
S53083,Starlink-4251,,Starlink 1.5 G3,COM,S
S53084,Starlink-4319,,Starlink 1.5 G3,COM,S
S53085,Starlink-4324,,Starlink 1.5 G3,COM,S
S53086,Starlink-4318,,Starlink 1.5 G3,COM,S
S53087,Starlink-4329,2025 Aug  6?,Starlink 1.5 G3,COM,S
S53088,Starlink-4333,,Starlink 1.5 G3,COM,S
S53100,Tian Lian 2-03,,TL-2,COM,S
S53102,USA 334,,NRO TS,COM?,S
S53105,LARES 2,2022 Jul 14?,ASI,TECH,S
S53106,GreenCube,,ROSAP,BIO/TECH,S
S53107,AstroBio Cubesat,,ROSAP,TECH,S
S53108,TRISAT-R,,Maribor,IMG,S
S53110,Alpha,2022 Aug,ArcaD,TECH,S
S53111,Celesta,2022 Aug,Montpellier,TECH,S
S53112,MTCube-2,2022 Aug,Montpellier,TECH,S
S53113,CRS-25,2022 Aug 20 1853,Dragon 2 Cargo,SS,S
S53128,Siwei-03 xing,,Siwei,IMG-R?,S
S53130,Siwei-04 xing,,Siwei,IMG-R?,S
S53132,Starlink-4063,2025 Dec 18,Starlink 1.5 G4,COM,S
S53133,Starlink-4154,2024 Dec 20,Starlink 1.5 G4,COM,S
S53134,Starlink-4150,,Starlink 1.5 G4,COM,S
S53135,Starlink-4023,,Starlink 1.5 G4,COM,S
S53136,Starlink-4152,,Starlink 1.5 G4,COM,S
S53137,Starlink-4145,,Starlink 1.5 G4,COM,S
S53138,Starlink-4141,,Starlink 1.5 G4,COM,S
S53139,Starlink-4185,,Starlink 1.5 G4,COM,S
S53140,Starlink-4170,,Starlink 1.5 G4,COM,S
S53141,Starlink-4103,,Starlink 1.5 G4,COM,S
S53142,Starlink-4101,,Starlink 1.5 G4,COM,S
S53143,Starlink-4102,,Starlink 1.5 G4,COM,S
S53144,Starlink-4100,,Starlink 1.5 G4,COM,S
S53145,Starlink-4106,,Starlink 1.5 G4,COM,S
S53146,Starlink-4099,2025 May 24?,Starlink 1.5 G4,COM,S
S53147,Starlink-4094,,Starlink 1.5 G4,COM,S
S53148,Starlink-4066,2024 Jun 21,Starlink 1.5 G4,COM,S
S53149,Starlink-4021,,Starlink 1.5 G4,COM,S
S53150,Starlink-4038,,Starlink 1.5 G4,COM,S
S53151,Starlink-4040,,Starlink 1.5 G4,COM,S
S53152,Starlink-4045,,Starlink 1.5 G4,COM,S
S53153,Starlink-4098,,Starlink 1.5 G4,COM,S
S53154,Starlink-4077,,Starlink 1.5 G4,COM,S
S53155,Starlink-4088,,Starlink 1.5 G4,COM,S
S53156,Starlink-4087,,Starlink 1.5 G4,COM,S
S53157,Starlink-4093,2025 Jul 24?,Starlink 1.5 G4,COM,S
S53158,Starlink-4054,,Starlink 1.5 G4,COM,S
S53159,Starlink-4111,,Starlink 1.5 G4,COM,S
S53160,Starlink-4096,,Starlink 1.5 G4,COM,S
S53161,Starlink-4055,,Starlink 1.5 G4,COM,S
S53162,Starlink-4114,,Starlink 1.5 G4,COM,S
S53163,Starlink-4104,,Starlink 1.5 G4,COM,S
S53164,Starlink-4116,,Starlink 1.5 G4,COM,S
S53165,Starlink-4090,,Starlink 1.5 G4,COM,S
S53166,Starlink-4110,,Starlink 1.5 G4,COM,S
S53167,Starlink-3683,,Starlink 1.5 G4,COM,S
S53168,Starlink-4105,,Starlink 1.5 G4,COM,S
S53169,Starlink-4117,,Starlink 1.5 G4,COM,S
S53170,Starlink-4095,,Starlink 1.5 G4,COM,S
S53171,Starlink-4052,,Starlink 1.5 G4,COM,S
S53172,Starlink-4299,,Starlink 1.5 G4,COM,S
S53173,Starlink-4300,,Starlink 1.5 G4,COM,S
S53174,Starlink-4205,,Starlink 1.5 G4,COM,S
S53175,Starlink-4292,,Starlink 1.5 G4,COM,S
S53176,Starlink-4294,,Starlink 1.5 G4,COM,S
S53177,Starlink-4298,,Starlink 1.5 G4,COM,S
S53178,Starlink-4280,,Starlink 1.5 G4,COM,S
S53179,Starlink-4276,,Starlink 1.5 G4,COM,S
S53180,Starlink-4258,,Starlink 1.5 G4,COM,S
S53181,Starlink-4273,2024 Oct 28?,Starlink 1.5 G4,COM,S
S53182,Starlink-4278,,Starlink 1.5 G4,COM,S
S53183,Starlink-4268,,Starlink 1.5 G4,COM,S
S53184,Starlink-4257,,Starlink 1.5 G4,COM,S
S53189,Starlink-4391,,Starlink 1.5 G3,COM,S
S53190,Starlink-4332,,Starlink 1.5 G3,COM,S
S53191,Starlink-4369,,Starlink 1.5 G3,COM,S
S53192,Starlink-4375,,Starlink 1.5 G3,COM,S
S53193,Starlink-4351,,Starlink 1.5 G3,COM,S
S53194,Starlink-4382,,Starlink 1.5 G3,COM,S
S53195,Starlink-4404,,Starlink 1.5 G3,COM,S
S53196,Starlink-4407,,Starlink 1.5 G3,COM,S
S53197,Starlink-4403,,Starlink 1.5 G3,COM,S
S53198,Starlink-4385,,Starlink 1.5 G3,COM,S
S53199,Starlink-4395,,Starlink 1.5 G3,COM,S
S53200,Starlink-4417,,Starlink 1.5 G3,COM,S
S53201,Starlink-4405,,Starlink 1.5 G3,COM,S
S53202,Starlink-4411,,Starlink 1.5 G3,COM,S
S53203,Starlink-4409,,Starlink 1.5 G3,COM,S
S53204,Starlink-4410,,Starlink 1.5 G3,COM,S
S53205,Starlink-4397,,Starlink 1.5 G3,COM,S
S53206,Starlink-4408,,Starlink 1.5 G3,COM,S
S53207,Starlink-4413,,Starlink 1.5 G3,COM,S
S53208,Starlink-4425,,Starlink 1.5 G3,COM,S
S53209,Starlink-4423,,Starlink 1.5 G3,COM,S
S53210,Starlink-4427,,Starlink 1.5 G3,COM,S
S53211,Starlink-4419,2025 May 19?,Starlink 1.5 G3,COM,S
S53212,Starlink-4416,,Starlink 1.5 G3,COM,S
S53213,Starlink-4414,,Starlink 1.5 G3,COM,S
S53214,Starlink-4353,,Starlink 1.5 G3,COM,S
S53215,Starlink-4335,,Starlink 1.5 G3,COM,S
S53216,Starlink-4376,,Starlink 1.5 G3,COM,S
S53217,Starlink-4379,2025 May 16?,Starlink 1.5 G3,COM,S
S53218,Starlink-4384,,Starlink 1.5 G3,COM,S
S53219,Starlink-4373,,Starlink 1.5 G3,COM,S
S53220,Starlink-4363,,Starlink 1.5 G3,COM,S
S53221,Starlink-4377,,Starlink 1.5 G3,COM,S
S53222,Starlink-4381,2025 Mar 31?,Starlink 1.5 G3,COM,S
S53223,Starlink-4354,2025 Feb 28?,Starlink 1.5 G3,COM,S
S53224,Starlink-4356,,Starlink 1.5 G3,COM,S
S53225,Starlink-4358,,Starlink 1.5 G3,COM,S
S53226,Starlink-4359,,Starlink 1.5 G3,COM,S
S53227,Starlink-4366,,Starlink 1.5 G3,COM,S
S53228,Starlink-4365,,Starlink 1.5 G3,COM,S
S53229,Starlink-4367,,Starlink 1.5 G3,COM,S
S53230,Starlink-4364,,Starlink 1.5 G3,COM,S
S53231,Starlink-4370,,Starlink 1.5 G3,COM,S
S53232,Starlink-4371,,Starlink 1.5 G3,COM,S
S53233,Starlink-4372,,Starlink 1.5 G3,COM,S
S53234,Starlink-4368,,Starlink 1.5 G3,COM,S
S53239,Wentian shiyan cang,,Tiangong,SS,S
S53242,Starlink-4056,,Starlink 1.5 G4,COM,S
S53243,Starlink-4047,,Starlink 1.5 G4,COM,S
S53244,Starlink-4125,,Starlink 1.5 G4,COM,S
S53245,Starlink-4124,2024 May 21?,Starlink 1.5 G4,COM,S
S53246,Starlink-4131,,Starlink 1.5 G4,COM,S
S53247,Starlink-4061,,Starlink 1.5 G4,COM,S
S53248,Starlink-4135,,Starlink 1.5 G4,COM,S
S53249,Starlink-4128,,Starlink 1.5 G4,COM,S
S53250,Starlink-4059,,Starlink 1.5 G4,COM,S
S53251,Starlink-4129,,Starlink 1.5 G4,COM,S
S53252,Starlink-4132,,Starlink 1.5 G4,COM,S
S53253,Starlink-4133,,Starlink 1.5 G4,COM,S
S53254,Starlink-4134,,Starlink 1.5 G4,COM,S
S53255,Starlink-4142,,Starlink 1.5 G4,COM,S
S53256,Starlink-4147,,Starlink 1.5 G4,COM,S
S53257,Starlink-4144,,Starlink 1.5 G4,COM,S
S53258,Starlink-4127,,Starlink 1.5 G4,COM,S
S53259,Starlink-4140,,Starlink 1.5 G4,COM,S
S53260,Starlink-4136,2025 May 21?,Starlink 1.5 G4,COM,S
S53261,Starlink-4062,,Starlink 1.5 G4,COM,S
S53262,Starlink-4085,,Starlink 1.5 G4,COM,S
S53263,Starlink-4130,,Starlink 1.5 G4,COM,S
S53264,Starlink-3950,,Starlink 1.5 G4,COM,S
S53265,Starlink-4097,,Starlink 1.5 G4,COM,S
S53266,Starlink-4058,,Starlink 1.5 G4,COM,S
S53267,Starlink-4060,,Starlink 1.5 G4,COM,S
S53268,Starlink-4109,,Starlink 1.5 G4,COM,S
S53269,Starlink-4057,,Starlink 1.5 G4,COM,S
S53270,Starlink-4113,2022 Aug  8,Starlink 1.5 G4,COM,S
S53271,Starlink-4069,2024 Jun 24?,Starlink 1.5 G4,COM,S
S53272,Starlink-4122,,Starlink 1.5 G4,COM,S
S53273,Starlink-4051,,Starlink 1.5 G4,COM,S
S53274,Starlink-4050,,Starlink 1.5 G4,COM,S
S53275,Starlink-4179,,Starlink 1.5 G4,COM,S
S53276,Starlink-4174,,Starlink 1.5 G4,COM,S
S53277,Starlink-4178,,Starlink 1.5 G4,COM,S
S53278,Starlink-4180,,Starlink 1.5 G4,COM,S
S53279,Starlink-4163,2022 Jul 24 1354,Starlink 1.5 G4,COM,S
S53280,Starlink-4169,,Starlink 1.5 G4,COM,S
S53281,Starlink-4182,2024 Dec 16?,Starlink 1.5 G4,COM,S
S53282,Starlink-4164,,Starlink 1.5 G4,COM,S
S53283,Starlink-4175,,Starlink 1.5 G4,COM,S
S53284,Starlink-4172,2024 Dec 19?,Starlink 1.5 G4,COM,S
S53285,Starlink-4173,,Starlink 1.5 G4,COM,S
S53286,Starlink-4165,,Starlink 1.5 G4,COM,S
S53287,Starlink-4107,,Starlink 1.5 G4,COM,S
S53288,Starlink-4162,,Starlink 1.5 G4,COM,S
S53289,Starlink-4176,,Starlink 1.5 G4,COM,S
S53290,Starlink-4149,,Starlink 1.5 G4,COM,S
S53291,Starlink-4166,,Starlink 1.5 G4,COM,S
S53292,Starlink-4159,,Starlink 1.5 G4,COM,S
S53293,Starlink-4148,,Starlink 1.5 G4,COM,S
S53294,Starlink-4146,,Starlink 1.5 G4,COM,S
S53299,SaTech 01,2025 Feb?,CAS,TECH,S
S53300,Lianzi Weina (LZWN),2025 Mar?,CAS,TECH,S
S53301,Dianci Zuzhuang shiyan 1,2025 Apr?,CAS,TECH,S
S53302,Guidao Daqi MTSW,2024 Apr?,CAS,TECH,S
S53303,Nanyue Kexue Xing,2025 Sep?,CAS,TECH,S
S53306,YuZGU-55 No. 8,2023 Jan?,YUZGU,COM,S
S53307,Tsiolskovsky-Ryazan No. 2,2023 Jan?,Ryazan,COM,S
S53308,YuZGU-55 No. 12,2023 Jan?,YUZGU,COM,S
S53309,YuZGU-55 No. 5,2023 Jan?,YUZGU,COM,S
S53310,YuZGU-55 No. 9,2023 Jan?,YUZGU,COM,S
S53311,Tsiolskovsky-Ryazan No. 1,2023 Jan?,YUZGU,COM,S
S53312,YuZGU-55 No. 6,2023 Jan?,YUZGU,COM,S
S53313,YuZGU-55 No. 7,2023 Jan?,YUZGU,COM,S
S53314,ALE-DOM,2022 Jul 26,ALE,TECH,S
S53316,Yaogan 35 03 zu A xing,2024 Feb,YG-35AB,SIG,S
S53317,CZ-2D Deorbit Sail,2023 Mar?,SAST LV,TECH,S
S53318,Yaogan 35 03 zu B xing,,YG-35AB,SIG,S
S53320,Yaogan 35 03 zu C xing,,YG-35C,SIG,S
S53321,YuZGU-55 No. 10,2023 Jan?,Ryazan,COM,S
S53322,YuZGU-55 No. 11,2023 Jan?,Ryazan,COM,S
S53323,Kosmos-2558,,Nivelir-L,TECH,S
S53346,Luid shengtai xitong tanj.,,CAS,IMG,S
S53347,Jiaotong si hao (Hede 2G),2024 Apr?,HEAD,COM,S
S53348,Minhang Shaonian Xing,2023 Oct?,SAST Edu,TECH,S
S53352,USA 335,,NRO TS,COM?,S
S53355,SBIRS GEO 6 (USA 336),,SBIRS GEO,EW,S
S53357,Chonfu Shiyong Shiyan HQ 2,2023 May  8 0020?,CSSHQ,TECH,S
S53365,Korean Pathfinder Lunar Orb.,,KLEP,PLAN,S
S53367,Taijing-1 01,2024 Mar?,Minospace,IMG,S
S53368,Taijing-1 02,2024 Mar?,Xingshidai,IMG,S
S53369,Donghai 1,2024 Dec?,ASES,IMG,S
S53370,KHAYYAM,,Iran RU,IMG,S
S53371,Polytekh Yunivers-2,2022 Oct?,Polytech,TECH,S
S53372,Polytekh Yunivers-1,2022 Oct?,Polytech,TECH,S
S53373,SXC3-2110 Voenmeh,2024 Feb?,BGTU,TECH,S
S53374,Monitor-1,2024 Feb?,MGU,SCI,S
S53375,SXC3-218 KuzSTU,2024 Apr?,Kuzbass,IMG,S
S53376,UTMN,2024 Apr?,UTMN,IMG,S
S53377,SXC3-214 MIET-AIS,2024 May?,MIET,COM,S
S53378,KAI-1,2022 Nov?,Kazan,TECH,S
S53379,Skoltech-B2,2024 Oct?,Skoltech,COM,S
S53380,Skoltech-B2a,2024 Aug?,Skoltech,COM,S
S53381,SXC3-219 ISOI,2024 May?,ISOI,IMG,S
S53382,ReshUCube (SXC3-2111 SibSU),2024 Jun?,SibGAU,TECH,S
S53383,CubeSX-HSE-2,2024 Apr?,VSHE,IMG/COM,S
S53384,SXC-217 Siren,2024 Jun?,Belgorod,BIO,S
S53385,Geoskan-Edel'veys,2024 Jan?,Geoskan,COM,S
S53386,SXC-215 Vizard,2023 Dec?,Vizard,COM,S
S53388,Starlink-4522,,Starlink 1.5 G4,COM,S
S53389,Starlink-4523,,Starlink 1.5 G4,COM,S
S53390,Starlink-4517,,Starlink 1.5 G4,COM,S
S53391,Starlink-4521,,Starlink 1.5 G4,COM,S
S53392,Starlink-4535,,Starlink 1.5 G4,COM,S
S53393,Starlink-4530,,Starlink 1.5 G4,COM,S
S53394,Starlink-4544,,Starlink 1.5 G4,COM,S
S53395,Starlink-4534,,Starlink 1.5 G4,COM,S
S53396,Starlink-4524,,Starlink 1.5 G4,COM,S
S53397,Starlink-4515,,Starlink 1.5 G4,COM,S
S53398,Starlink-4512,,Starlink 1.5 G4,COM,S
S53399,Starlink-4528,,Starlink 1.5 G4,COM,S
S53400,Starlink-4520,,Starlink 1.5 G4,COM,S
S53401,Starlink-4525,,Starlink 1.5 G4,COM,S
S53402,Starlink-4499,,Starlink 1.5 G4,COM,S
S53403,Starlink-4507,,Starlink 1.5 G4,COM,S
S53404,Starlink-4509,,Starlink 1.5 G4,COM,S
S53405,Starlink-4510,,Starlink 1.5 G4,COM,S
S53406,Starlink-4533,,Starlink 1.5 G4,COM,S
S53407,Starlink-4537,2025 Oct 30?,Starlink 1.5 G4,COM,S
S53408,Starlink-4491,,Starlink 1.5 G4,COM,S
S53409,Starlink-4490,,Starlink 1.5 G4,COM,S
S53410,Starlink-4492,,Starlink 1.5 G4,COM,S
S53411,Starlink-4497,,Starlink 1.5 G4,COM,S
S53412,Starlink-4496,,Starlink 1.5 G4,COM,S
S53413,Starlink-4500,,Starlink 1.5 G4,COM,S
S53414,Starlink-4304,,Starlink 1.5 G4,COM,S
S53415,Starlink-4479,,Starlink 1.5 G4,COM,S
S53416,Starlink-4480,,Starlink 1.5 G4,COM,S
S53417,Starlink-4484,,Starlink 1.5 G4,COM,S
S53418,Starlink-4481,,Starlink 1.5 G4,COM,S
S53419,Starlink-4476,,Starlink 1.5 G4,COM,S
S53420,Starlink-4552,,Starlink 1.5 G4,COM,S
S53421,Starlink-4545,,Starlink 1.5 G4,COM,S
S53422,Starlink-4546,,Starlink 1.5 G4,COM,S
S53423,Starlink-4539,,Starlink 1.5 G4,COM,S
S53424,Starlink-4532,,Starlink 1.5 G4,COM,S
S53425,Starlink-4531,,Starlink 1.5 G4,COM,S
S53426,Starlink-4558,,Starlink 1.5 G4,COM,S
S53427,Starlink-4541,2025 Mar  6?,Starlink 1.5 G4,COM,S
S53428,Starlink-4540,2024 Dec 19?,Starlink 1.5 G4,COM,S
S53429,Starlink-4543,,Starlink 1.5 G4,COM,S
S53430,Starlink-4538,,Starlink 1.5 G4,COM,S
S53431,Starlink-4548,,Starlink 1.5 G4,COM,S
S53432,Starlink-4557,,Starlink 1.5 G4,COM,S
S53433,Starlink-4549,,Starlink 1.5 G4,COM,S
S53434,Starlink-4498,,Starlink 1.5 G4,COM,S
S53435,Starlink-4542,,Starlink 1.5 G4,COM,S
S53436,Starlink-4527,,Starlink 1.5 G4,COM,S
S53437,Starlink-4529,2022 Aug 13?,Starlink 1.5 G4,COM,S
S53438,Starlink-4526,,Starlink 1.5 G4,COM,S
S53439,Starlink-4519,,Starlink 1.5 G4,COM,S
S53444,Dongpo 07,,Jilin-1 GF,IMG,S
S53445,Jilin-1 Gaofen 03D09,,Jilin-1 GF,IMG,S
S53446,Henan-1,,Jilin-1 GF,IMG,S
S53447,Dongpo 06,,Jilin-1 GF,IMG,S
S53448,Jilin-1 Gaofen 03D43,,Jilin-1 GF,IMG,S
S53449,Dongpo 05,,Jilin-1 GF,IMG,S
S53450,Dongpo 03,,Jilin-1 GF,IMG,S
S53451,Dongpo 04,,Jilin-1 GF,IMG,S
S53452,Dongpo 02,,Jilin-1 GF,IMG,S
S53453,Dongpo 01,,Jilin-1 GF,IMG,S
S53454,Yunyao-1 06 xing,2024 Jul?,Jilin-1 HW,MET-RO,S
S53455,Yunyao-1 07 xing,2024 Jul?,Jilin-1 HW,MET-RO,S
S53456,Yunyao-1 05 xing,2024 Jul?,Jilin-1 HW,MET-RO,S
S53457,Yunyao-1 04 xing,2024 Aug?,Jilin-1 HW,MET-RO,S
S53458,Yunyao-1 08 xing,2024 Jul?,Jilin-1 HW,MET-RO,S
S53459,Tianjin Binhai 1 (BINGHAI-1),2024 Jul?,Jilin-1 HW,IMG,S
S53462,HSU-SAT1,2023 Feb?,HSU,TECH,S
S53463,FUTABA,2023 Feb?,Kyutech,TECH,S
S53464,TUMnanosat,2023 Jan?,TU Moldova,TECH,S
S53465,Starlink-4415,,Starlink 1.5 G3,COM,S
S53466,Starlink-4398,,Starlink 1.5 G3,COM,S
S53467,Starlink-4394,,Starlink 1.5 G3,COM,S
S53468,Starlink-4400,,Starlink 1.5 G3,COM,S
S53469,Starlink-4399,,Starlink 1.5 G3,COM,S
S53470,Starlink-4393,,Starlink 1.5 G3,COM,S
S53471,Starlink-4316,,Starlink 1.5 G3,COM,S
S53472,Starlink-4447,,Starlink 1.5 G3,COM,S
S53473,Starlink-4383,,Starlink 1.5 G3,COM,S
S53474,Starlink-4445,,Starlink 1.5 G3,COM,S
S53475,Starlink-4389,,Starlink 1.5 G3,COM,S
S53476,Starlink-4378,,Starlink 1.5 G3,COM,S
S53477,Starlink-4412,,Starlink 1.5 G3,COM,S
S53478,Starlink-4433,,Starlink 1.5 G3,COM,S
S53479,Starlink-4436,,Starlink 1.5 G3,COM,S
S53480,Starlink-4442,,Starlink 1.5 G3,COM,S
S53481,Starlink-4302,,Starlink 1.5 G3,COM,S
S53482,Starlink-4360,,Starlink 1.5 G3,COM,S
S53483,Starlink-4401,2025 Sep 22?,Starlink 1.5 G3,COM,S
S53484,Starlink-4426,,Starlink 1.5 G3,COM,S
