LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
Antares 110,Zenit               ,OSCW,2, 40.5 , 3.90 ,   282.0 ,    4600 ,    3631 ,O
Antares 120,Zenit               ,OSCW,2, 40.5 , 3.90 ,   282.0 ,    4600 ,    3631 ,O
Antares 130,Zenit               ,OSCW,2, 40.5 , 3.90 ,   282.0 ,    5100 ,    3631 ,O
Antares 230,Zenit               ,OSCW,2, 42.5 , 3.90 ,   290.0 ,    6250 ,    3844 ,O
Antares 230+,Zenit               ,OSCW,2, 42.5 , 3.90 ,   290.0 ,    6250 ,    3844 ,O
Zenit-2,Zenit               ,YUZH,2, 57.0 , 3.90 ,   459.0 ,   13500 ,    7259 ,O
Zenit-2M,Zenit               ,YUZH,2, 57.0 , 3.90 ,   459.0 ,   13500 ,    7259 ,O
Zenit-2 11K77.05,Zenit               ,YUZH,2, 57.0 , 3.90 ,   459.0 ,   13500 ,    7259 ,O
Zenit-3SL,Zenit               ,YUZH,3, 59.6 , 3.90 ,   471.0 ,       0 ,    7259 ,O
Zenit-2SB,Zenit               ,YUZH,2, 59.6 , 3.90 ,   471.0 ,       0 ,    7259 ,O
Zenit-3F,Zenit               ,YUZH,3, 59.0 , 3.90 ,   471.0 ,       0 ,    7259 ,O
Zenit-3SLB,Zenit               ,YUZH,3, 59.6 , 3.90 ,   471.0 ,       0 ,    7259 ,O
Zenit-3SLBF,Zenit               ,YUZH,3, 59.6 , 3.90 ,   471.0 ,       0 ,    7259 ,O
Atlas V 401,Atlas5              ,LMA,2, 58.3 , 3.80 ,   334.5 ,,    3800 ,O
Atlas V 411,Atlas5              ,LMA,2, 58.3 , 3.80 ,   386.8 ,,,O
Atlas V 421,Atlas5              ,LMA,2, 58.3 , 3.80 ,   433.8 ,,,O
Atlas V 431,Atlas5              ,LMA,2, 59.1 , 3.80 ,   479.7 ,,,O
Atlas V 501,Atlas5              ,LMA,2, 58.3 , 3.80 ,   334.5 ,,,O
Atlas V 521,Atlas5              ,LMA,2, 59.7 , 3.80 ,   433.5 ,   14000 ,    6520 ,O
Atlas V 511,Atlas5              ,LMA,2, 59.7 , 3.80 ,   433.5 ,   14000 ,    6520 ,O
Atlas V 531,Atlas5              ,LMA,2, 60.0 , 3.80 ,   479.7 ,,,O
Atlas V 541,Atlas5              ,LMA,2, 60.0 , 3.80 ,   479.7 ,,,O
Atlas V 551,Atlas5              ,LMA,2, 59.7 , 3.80 ,   573.2 ,,,O
Atlas V N22,Atlas5              ,LMA,2, 52.4 , 3.80 ,   444.2 ,,,O
Ariane 1,Ariane              ,AELM,3, 47.4 , 3.80 ,   210.0 ,,    2462 ,O
Ariane 2,Ariane              ,AELM,3, 49.0 , 3.80 ,   217.0 ,,    2689 ,O
Ariane 3,Ariane              ,AELM,3, 49.0 , 3.80 ,   237.0 ,,    4021 ,O
Ariane 40,Ariane              ,AELM,3, 58.4 , 3.80 ,   243.0 ,    2700 ,    2708 ,O
Ariane 42L,Ariane              ,AELM,3, 58.4 , 3.80 ,   363.0 ,,    4208 ,O
Ariane 42P,Ariane              ,AELM,3, 58.4 , 3.80 ,   320.0 ,,    4008 ,O
Ariane 44L,Ariane              ,AELM,3, 58.4 , 3.80 ,   470.0 ,,    5708 ,O
Ariane 44LP,Ariane              ,AELM,3, 58.4 , 3.80 ,   418.5 ,,    5528 ,O
Ariane 44P,Ariane              ,AELM,3, 58.4 , 3.80 ,   355.0 ,,    5308 ,O
Tianlong-3,TL3,TIANB,2, 71.0 , 3.80 ,   590.0 ,,    7600 ,O
Tianlong-3 S1,TL3,TIANB,1, 71.0 , 3.80 ,   590.0 ,,    7600 ,O
Longxing-2,CZ12,SAST,1, 30.0 , 3.80 ,,,       0 ,T
Chang Zheng 12,CZ12,SAST,2, 62.0 , 3.80 ,   433.0 ,,    5000 ,O
Chang Zheng 12A,CZ12,SAST,2, 69.0 , 3.80 ,   433.0 ,,    5000 ,O
Ares I-X,SRB                 ,MSFC,1,100.0 , 3.77 ,   834.0 ,,       0 ,T
LM AS,LMAS                ,GRUM,1,  2.5 , 3.76 ,     4.9 ,    2000 ,,D
Dragon V2,Dragon              ,SPX,1,  6.1 , 3.70 ,     4.2 ,       0 ,     584 ,X
Falcon Heavy,Falcon9             ,SPX,2, 69.2 , 3.65 ,  1400.0 ,   54400 ,   17000 ,O
Falcon 9,Falcon9             ,SPX,2, 54.9 , 3.65 ,   333.4 ,    9300 ,    4940 ,O
Grasshopper,Falcon9             ,SPX,1, 34.0 , 3.65 ,   200.0 ,       0 ,     540 ,T
Falcon 9R,Falcon9             ,SPX,1, 49.0 , 3.65 ,   480.0 ,   13150 ,    5886 ,O
Nuri,KSLV2               ,KARI,3, 47.2 , 3.50 ,   200.0 ,       0 ,    2942 ,O
Vega C,VegaC               ,AVIO,4, 35.0 , 3.40 ,   210.0 ,       0 ,,O
X-15,X-15                ,NAA,1, 15.3 , 3.55 ,    14.2 ,       0 ,     257 ,X
Zhuque-2,ZQ-2,LANDSP,2, 49.5 , 3.35 ,   216.0 ,       0 ,    2630 ,O
Zhuque-2E,ZQ-2,LANDSP,2, 49.5 , 3.35 ,   229.0 ,       0 ,    2880 ,O
Dong Feng 5,DF5                 ,CALT,2, 32.6 , 3.35 ,   183.0 ,       0 ,    2500 ,M
Dong Feng 5A,DF5                 ,CALT,2, 32.6 , 3.35 ,   183.0 ,       0 ,    2500 ,M
Dong Feng 5C,DF5                 ,CALT,2, 32.6 , 3.35 ,   183.0 ,       0 ,    2500 ,M
Feng Bao 1,DF5                 ,SBA,2, 32.6 , 3.35 ,   192.0 ,    2200 ,    2500 ,O
Chang Zheng 2,DF5                 ,CALT,2, 31.2 , 3.35 ,   190.0 ,    2200 ,    2786 ,O
Chang Zheng 2C,DF5                 ,CALT,2, 35.2 , 3.35 ,   192.0 ,    2800 ,    2962 ,O
Chang Zheng 2C/YZ-1S,DF5                 ,CALT,3, 41.0 , 3.35 ,   213.0 ,    2800 ,    2962 ,O
Chang Zheng 2C-III/SD,DF5                 ,CALT,3, 39.9 , 3.35 ,   213.0 ,    2800 ,    2962 ,O
Chang Zheng 2D,DF5                 ,SAST,2, 38.3 , 3.35 ,   232.0 ,    3400 ,    2962 ,O
Chang Zheng 2D/YZ-3,DF5                 ,SAST,3, 38.3 , 3.35 ,   232.0 ,    3400 ,    2962 ,O
Chang Zheng 2E,DF5                 ,CALT,2, 51.2 , 3.35 ,   464.0 ,    9200 ,    5923 ,O
Chang Zheng 2F,DF5                 ,CALT,2, 51.2 , 3.35 ,   464.0 ,    9200 ,    5923 ,O
Chang Zheng 3,DF5                 ,CALT,3, 43.9 , 3.35 ,   202.0 ,       0 ,    2962 ,O
Chang Zheng 3A,DF5                 ,CALT,3, 52.5 , 3.35 ,   240.0 ,       0 ,    2962 ,O
Chang Zheng 3B,DF5                 ,CALT,3, 54.8 , 3.35 ,   425.8 ,       0 ,    5923 ,O
Chang Zheng 3C,DF5                 ,CALT,3, 54.8 , 3.35 ,   345.0 ,       0 ,    4441 ,O
Chang Zheng 3C/YZ-1,DF5                 ,CALT,4, 54.8 , 3.35 ,   345.0 ,       0 ,    4441 ,O
Chang Zheng 3B/YZ-1,DF5                 ,CALT,4, 54.8 , 3.35 ,   345.0 ,       0 ,    4441 ,O
Chang Zheng 6,DF5                 ,SAST,3, 29.0 , 3.35 ,   103.0 ,    1000 ,,O
Chang Zheng 6A,DF5                 ,SAST,2, 50.0 , 3.35 ,   530.0 ,    1000 ,,O
Chang Zheng 6C,DF5                 ,SAST,2, 29.0 , 3.35 ,   103.0 ,    1000 ,,O
Chang Zheng 7,DF5                 ,CALT,2, 53.1 , 3.35 ,   594.0 ,   13500 ,,O
Chang Zheng 7A,DF5                 ,CALT,3, 55.0 , 3.35 ,   615.0 ,   13500 ,,O
Chang Zheng 7/YZ-1A,DF5                 ,CALT,3, 53.1 , 3.35 ,   594.0 ,   13500 ,,O
Chang Zheng 8,DF5                 ,CALT,2, 53.1 , 3.35 ,   594.0 ,    8400 ,    4800 ,O
Chang Zheng 8A,DF5                 ,CALT,2, 50.5 , 3.35 ,   371.0 ,    8400 ,    4800 ,O
Chang Zheng 4,DF5                 ,SAST,3, 42.0 , 3.35 ,   249.0 ,    1650 ,    2962 ,O
Chang Zheng 4B,DF5                 ,SAST,3, 43.1 , 3.35 ,   254.4 ,    2800 ,    2962 ,O
Chang Zheng 4C,DF5                 ,SAST,3, 43.1 , 3.35 ,   254.4 ,    2800 ,    2962 ,O
Tianlong-2,TL2,TIANB,3, 32.8 , 3.35 ,   150.0 ,    2000 ,    1860 ,O
Titan I,Titan               ,MARTD,2, 31.0 , 3.05 ,   105.1 ,       0 ,    1450 ,M
Titan II,Titan               ,MARTD,2, 31.1 , 3.05 ,   150.0 ,       0 ,    2000 ,M
Titan II GLV,Titan               ,MARTD,2, 32.8 , 3.05 ,   150.0 ,    3600 ,    2090 ,O
Titan II SLV,Titan               ,MARTD,2, 34.6 , 3.05 ,   155.0 ,    1900 ,    2090 ,O
Titan IIIA,Titan               ,MARTD,3, 42.0 , 3.05 ,   161.7 ,    4100 ,    2300 ,O
Titan IIIB,Titan               ,MMD,3, 45.0 , 3.05 ,   156.5 ,    3700 ,    2300 ,O
Titan IIIC,Titan               ,MMD,3, 38.3 , 3.05 ,   626.2 ,   13300 ,   10600 ,O
Titan IIID,Titan               ,MMD,2, 36.0 , 3.05 ,   613.0 ,   11200 ,   10600 ,O
Titan IIIE,Titan               ,MMD,3, 48.8 , 3.05 ,   633.0 ,   14000 ,   10600 ,O
Titan 23B,Titan               ,MMD,3, 45.0 , 3.05 ,   165.0 ,    3600 ,    2300 ,O
Titan 24B,Titan               ,MMD,3, 45.0 , 3.05 ,   170.0 ,    3600 ,    2410 ,O
Titan 33B,Titan               ,MMD,3, 45.0 , 3.05 ,   185.0 ,    3600 ,    2300 ,O
Titan 34B,Titan               ,MMD,3, 45.5 , 3.05 ,   188.5 ,    3600 ,    2410 ,O
Titan 34D,Titan               ,MMD,2, 50.0 , 3.05 ,   723.5 ,   15350 ,   11280 ,O
Titan 34D/Transtage,Titan               ,MMD,3, 50.0 , 3.05 ,   720.0 ,       0 ,   11280 ,O
Titan 34D/IUS,Titan               ,MMD,4, 52.4 , 3.05 ,   725.0 ,       0 ,   11280 ,O
Commercial Titan 3,Titan               ,MMD,2, 47.3 , 3.05 ,   680.0 ,   14515 ,   12450 ,O
Titan 401A/Centaur,Titan               ,LMA,3, 63.1 , 3.05 ,   868.0 ,       0 ,   14200 ,O
Titan 402A/IUS,Titan               ,LMA,4, 54.0 , 3.05 ,   910.0 ,       0 ,   14200 ,O
Titan 403A,Titan               ,LMA,2, 54.0 , 3.05 ,   906.0 ,   17700 ,   14200 ,O
Titan 404A,Titan               ,LMA,2, 54.0 , 3.05 ,   906.0 ,   17700 ,   14200 ,O
Titan 405A,Titan               ,LMA,2, 54.0 , 3.05 ,   906.0 ,   17700 ,   14200 ,O
Titan 401B/Centaur,Titan               ,LMA,3, 62.2 , 3.05 ,   939.0 ,       0 ,   15000 ,O
Titan 402B/IUS,Titan               ,LMA,4, 54.0 , 3.05 ,   925.0 ,       0 ,   15000 ,O
Titan 403B,Titan               ,LMA,2, 54.0 , 3.05 ,   910.0 ,   21680 ,   15000 ,O
Titan 404B,Titan               ,LMA,2, 54.0 , 3.05 ,   910.0 ,   21680 ,   15000 ,O
Titan 405B,Titan               ,LMA,2, 54.0 , 3.05 ,   910.0 ,   21680 ,   15000 ,O
Blue Streak,BlueStreak          ,ELDO,1, 31.7 , 3.05 ,   100.0 ,       0 ,    1512 ,X
ELDO A,BlueStreak          ,ELDO,3, 31.7 , 3.05 ,   104.6 ,    1000 ,    1512 ,O
Europa I,BlueStreak          ,ELDO,3, 31.7 , 3.05 ,   104.6 ,    1000 ,    1512 ,O
Europa II,BlueStreak          ,ELDO,4, 31.7 , 3.05 ,   111.7 ,    1160 ,    1512 ,O
Atlas A,Atlas               ,GDA,1, 22.9 , 3.05 ,    82.0 ,       0 ,    1210 ,X
Atlas B,Atlas               ,GDA,1, 22.0 , 3.05 ,   112.5 ,      68 ,    1615 ,O
Atlas C,Atlas               ,GDA,1, 24.0 , 3.05 ,   112.5 ,       0 ,    1615 ,M
Atlas D,Atlas               ,GDA,1, 24.0 , 3.05 ,   119.0 ,    1400 ,    1629 ,O
Atlas E,Atlas               ,GDA,1, 20.0 , 3.05 ,   121.0 ,    1700 ,    1731 ,O
Atlas F,Atlas               ,GDA,1, 20.0 , 3.05 ,   121.0 ,    1700 ,    1731 ,O
Atlas F/Trident,Atlas               ,GDA,2, 25.0 , 3.05 ,   130.0 ,       0 ,    1731 ,M
Atlas E/Trident,Atlas               ,GDA,2, 25.0 , 3.05 ,   130.0 ,       0 ,    1731 ,M
Atlas C Able,Atlas               ,GDA,3, 28.0 , 3.05 ,   120.0 ,     170 ,    1615 ,O
Atlas F/Agena D,Atlas               ,GDA,2, 34.6 , 3.05 ,   130.0 ,,    1731 ,O
Atlas F/MSD,Atlas               ,GDA,2, 27.3 , 3.05 ,   122.0 ,    1200 ,    1731 ,O
Atlas E/MSD,Atlas               ,GDA,2, 27.3 , 3.05 ,   122.0 ,    1200 ,    1731 ,O
Atlas E Altair,Atlas               ,GDA,2, 27.3 , 3.05 ,   125.0 ,       0 ,    1731 ,O
Atlas F/OIS,Atlas               ,GDA,2, 32.1 , 3.05 ,   120.0 ,,    1731 ,O
Atlas E/OIS,Atlas               ,GDA,2, 28.7 , 3.05 ,   120.0 ,,    1731 ,O
Atlas F/PTS,Atlas               ,GDA,2, 29.2 , 3.05 ,   125.0 ,     295 ,    1731 ,O
Atlas E/SVS,Atlas               ,GDA,3, 29.2 , 3.05 ,   125.0 ,     700 ,    1731 ,O
Atlas F/SVS,Atlas               ,GDA,3, 29.2 , 3.05 ,   125.0 ,     700 ,    1731 ,O
Atlas E/SGS-2,Atlas               ,GDA,3, 32.1 , 3.05 ,   125.0 ,     861 ,    1731 ,O
Atlas SLV-3,Atlas               ,GDA,1, 21.0 , 3.05 ,   120.0 ,       0 ,    1650 ,O
Atlas G Centaur,Atlas               ,GDA,2, 41.8 , 3.05 ,   166.1 ,    3630 ,    1987 ,O
Atlas H,Atlas               ,GDA,1, 27.4 , 3.05 ,   150.5 ,    2000 ,    1954 ,O
Atlas Able,Atlas               ,GDA,3, 35.0 , 3.05 ,   120.0 ,,    1629 ,O
Atlas Agena A,Atlas               ,GDA,2, 30.0 , 3.05 ,   124.0 ,,    1629 ,O
Atlas Agena B,Atlas               ,GDA,2, 32.1 , 3.05 ,   130.0 ,,    1629 ,O
Atlas Agena D,Atlas               ,GDA,2, 32.1 , 3.05 ,   130.0 ,,    1590 ,O
Atlas SLV-3 Agena B,Atlas               ,GDA,2, 32.1 , 3.05 ,   140.0 ,,    1629 ,O
Atlas SLV-3 Agena D,Atlas               ,GDA,2, 32.1 , 3.05 ,   140.0 ,,    1629 ,O
Atlas SLV-3A Agena D,Atlas               ,GDA,2, 36.0 , 3.05 ,   155.0 ,,    1700 ,O
Atlas Burner 2,Atlas               ,GDA,2, 28.9 , 3.05 ,   130.0 ,,    1700 ,O
Atlas Burner 2A,Atlas               ,GDA,3, 30.0 , 3.05 ,   130.0 ,,    1700 ,O
Atlas Centaur,Atlas               ,GDA,2, 33.0 , 3.05 ,   136.1 ,,    1629 ,O
Atlas Centaur D,Atlas               ,GDA,2, 33.0 , 3.05 ,   136.1 ,,    1629 ,O
Atlas SLV-3C Centaur,Atlas               ,GDA,2, 40.2 , 3.05 ,   148.4 ,,    1700 ,O
Atlas SLV-3D Centaur,Atlas               ,GDA,2, 40.3 , 3.05 ,   149.0 ,,    1741 ,O
Atlas I,Atlas               ,LMA,2, 41.8 , 3.05 ,   166.1 ,,    1987 ,O
Atlas II,Atlas               ,LMA,2, 45.0 , 3.05 ,   187.0 ,    6580 ,    2140 ,O
Atlas IIA,Atlas               ,LMA,2, 47.4 , 3.05 ,   187.5 ,    7316 ,    2140 ,O
Atlas IIAS,Atlas               ,LMA,2, 47.4 , 3.05 ,   237.2 ,    8618 ,    3000 ,O
Atlas 3A,Atlas               ,LMA,2, 52.8 , 3.05 ,   225.0 ,    8620 ,    3827 ,O
Atlas 3B,Atlas               ,LMA,2, 53.6 , 3.05 ,   225.0 ,    8620 ,    3827 ,O
New Shepard,NewShepard          ,BLOR,1, 15.0 , 3.00 ,    35.0 ,       0 ,    1020 ,O
Vega,Vega                ,ELV,4, 30.1 , 3.00 ,   136.7 ,    1500 ,    2974 ,O
YGCS,YGCS,CALT,1, 20.0 , 3.00 ,   100.0 ,       0 ,,M
Sarmat,Sarmat,MAK,2, 35.5 , 3.00 ,   208.1 ,       0 ,,M
R-36,R-36                ,OKB586,2, 34.1 , 3.00 ,   183.9 ,       0 ,    2360 ,M
R-36 8K67,R-36                ,OKB586,2, 34.1 , 3.00 ,   183.9 ,       0 ,    2360 ,M
R-36 8K67P,R-36                ,OKB586,2, 33.9 , 3.00 ,   183.9 ,       0 ,    2360 ,M
R-36 8K67PM,R-36                ,OKB586,2, 33.9 , 3.00 ,   183.9 ,       0 ,    2360 ,M
R-36 8K67M,R-36                ,OKB586,2, 34.6 , 3.00 ,   185.0 ,       0 ,    2360 ,M
R-36 8K67MA,R-36                ,OKB586,2, 34.6 , 3.00 ,   185.0 ,       0 ,    2360 ,M
R-36O 8K69,R-36                ,OKB586,2, 35.0 , 3.00 ,   180.0 ,       0 ,    2360 ,O
R-36O 8K69M,R-36                ,OKB586,2, 35.0 , 3.00 ,   180.0 ,       0 ,    2360 ,O
Tsiklon-2A,R-36                ,OKB586,2, 39.7 , 3.00 ,   180.0 ,    3000 ,    2652 ,O
Tsiklon-2,R-36                ,OKB586,2, 35.5 , 3.00 ,   180.0 ,    3350 ,    2652 ,O
Tsiklon-3,R-36                ,YUZH,3, 39.3 , 3.00 ,   190.0 ,    4100 ,    2745 ,O
R-36M 15A14,R-36                ,YUZH,2, 33.6 , 3.00 ,   209.6 ,       0 ,    4500 ,M
R-36MU 15A18,R-36                ,YUZH,3, 34.3 , 3.00 ,   211.0 ,       0 ,    4525 ,M
R-36M2 15A18M,R-36                ,YUZH,3, 37.0 , 3.00 ,   211.1 ,       0 ,    4500 ,M
Dnepr,R-36                ,YUZH,3, 34.3 , 3.00 ,   211.0 ,    4500 ,    4525 ,O
R-16,R-16                ,OKB586,2, 34.3 , 3.00 ,   140.6 ,       0 ,    2610 ,M
R-16U,R-16                ,OKB586,2, 34.3 , 3.00 ,   140.6 ,       0 ,    2610 ,M
UR-200,UR-200              ,KHRU,2, 26.4 , 3.00 ,   138.0 ,       0 ,    2001 ,M
R-7,R-7                 ,OKB1,2, 34.2 , 2.95 ,   274.3 ,       0 ,    3904 ,M
R-7A,R-7                 ,OKB1,2, 31.1 , 2.95 ,   276.6 ,       0 ,    4020 ,M
Sputnik 8K71PS,R-7                 ,OKB1,2, 29.2 , 2.95 ,   265.0 ,     500 ,    3904 ,O
Sputnik 8A91,R-7                 ,OKB1,2, 29.2 , 2.95 ,   268.6 ,     500 ,    3806 ,O
Voskhod 11A57,R-7                 ,OKB1,3, 44.0 , 2.95 ,   305.1 ,    5600 ,    4054 ,O
Vostok-L 8K72,R-7                 ,OKB1,3, 33.5 , 2.95 ,   279.1 ,    4000 ,    3998 ,O
Vostok 8K72,R-7                 ,OKB1,3, 38.4 , 2.95 ,   283.5 ,    4500 ,    3998 ,O
Vostok 8A92,R-7                 ,OKB1,3, 38.4 , 2.95 ,   285.9 ,    4750 ,    4020 ,O
Vostok 8A92M,R-7                 ,PROG,3, 38.8 , 2.95 ,   283.1 ,    1280 ,    4020 ,O
Polyot 11A59,R-7                 ,OKB1,2, 34.5 , 2.95 ,   275.3 ,    2250 ,    4020 ,O
Vostok-2A 11A510,R-7                 ,OKB1,2, 37.9 , 2.95 ,   280.7 ,    3600 ,    4054 ,O
Soyuz 11A511,R-7                 ,PROG/OKB1,3, 50.0 , 2.95 ,   300.0 ,    6500 ,    4054 ,O
Soyuz 11A511L,R-7                 ,PROG/OKB1,3, 50.0 , 2.95 ,   300.0 ,    6500 ,    4054 ,O
Soyuz 11A511M,R-7                 ,PROG/OKB1,3, 50.0 , 2.95 ,   300.0 ,    6500 ,    4054 ,O
Soyuz-U,R-7                 ,PROG,3, 50.7 , 2.95 ,   310.0 ,    7200 ,    4032 ,O
Soyuz-U-PVB,R-7                 ,PROG,3, 50.7 , 2.95 ,   310.0 ,    7200 ,    4032 ,O
Soyuz-U2,R-7                 ,PROG,3, 50.7 , 2.95 ,   310.0 ,    7200 ,    4062 ,O
Soyuz-2-1A,R-7                 ,PROG,3, 50.7 , 2.95 ,   313.0 ,    7600 ,    4146 ,O
Soyuz-2-1B,R-7                 ,PROG,3, 50.7 , 2.95 ,   313.0 ,    7600 ,    4146 ,O
Soyuz-2-1V,Blok-A              ,PROG,2, 41.1 , 2.95 ,   160.0 ,    2800 ,,O
Soyuz-ST-A,R-7                 ,PROG,3, 50.7 , 2.95 ,   313.0 ,    7600 ,    4146 ,O
Soyuz-ST-B,R-7                 ,PROG,3, 50.7 , 2.95 ,   313.0 ,    7600 ,    4146 ,O
Soyuz-FG,R-7                 ,PROG,3, 46.0 , 2.95 ,   308.0 ,    7200 ,    4146 ,O
Molniya 8K78,R-7                 ,OKB1,5, 44.0 , 2.95 ,   305.5 ,,    4020 ,O
Molniya 8K78M,R-7                 ,PROG,5, 42.8 , 2.95 ,   305.5 ,,    4054 ,O
Molniya 8K78M-PVB,R-7                 ,PROG,5, 43.4 , 2.95 ,   305.0 ,       0 ,    4054 ,O
Angara A5,Angara              ,KHRU,3, 42.8 , 2.90 ,   773.0 ,   24500 ,    2095 ,O
Angara A5/Persei,Angara              ,KHRU,3, 42.8 , 2.90 ,   773.0 ,   24500 ,    2095 ,O
Angara A5/Orion,Angara              ,KHRU,3, 42.8 , 2.90 ,   773.0 ,   24500 ,    2095 ,O
Angara-1.2PP,Angara              ,KHRU,2, 42.8 , 2.90 ,   171.0 ,       0 ,    2095 ,O
Angara-1.2,Angara              ,KHRU,3, 42.8 , 2.90 ,   171.0 ,       0 ,    2095 ,O
Naro-1,Angara              ,KARI,2, 33.5 , 2.90 ,   140.0 ,     100 ,    2095 ,O
PSLV,PSLV                ,VSSC/SHAR,4, 44.4 , 2.80 ,   294.0 ,    1600 ,    5290 ,O
PSLV-DL,PSLV                ,VSSC/SHAR,4, 44.4 , 2.80 ,   230.0 ,    1300 ,    4430 ,O
PSLV-QL,PSLV                ,VSSC/SHAR,4, 44.4 , 2.80 ,   230.0 ,    1300 ,    4430 ,O
PSLV-XL,PSLV                ,VSSC/SHAR,4, 44.4 , 2.80 ,   230.0 ,    1800 ,    9230 ,O
GSLV Mk I,PSLV                ,VSSC/SHAR,3, 49.0 , 2.80 ,   401.0 ,       0 ,    7420 ,O
GSLV Mk II,PSLV                ,VSSC/SHAR,3, 49.0 , 2.80 ,   401.0 ,       0 ,    7420 ,O
R-9A,R-9                 ,OKB1,2, 24.0 , 2.68 ,   100.0 ,       0 ,    1385 ,M
Jupiter IRBM,Jupiter             ,CHRY/ABMA,1, 18.4 , 2.67 ,    54.4 ,       0 ,     667 ,M
Juno II,Jupiter             ,CHRY/ABMA,4, 23.4 , 2.67 ,    55.3 ,      50 ,     667 ,O
Lijian-1,ZK-1,CASIOM,4, 50.0 , 2.65 ,   135.0 ,,,O
Jielong-3,ZK-1,CZHJ,4, 31.0 , 2.65 ,   140.0 ,    1500 ,,O
Yinli-1,ZK-1,DFK,3, 29.0 , 2.65 ,   400.0 ,    6500 ,,O
Al Abid,Abid                ,IQ,3, 25.0 , 2.64 ,    48.0 ,       0 ,     650 ,X
KSLV-II TLV,KSLV2-2             ,KARI,2, 25.8 , 2.60 ,    52.1 ,       0 ,     747 ,M
A-350,A-350               ,SKB30,2, 20.0 , 2.57 ,    33.0 ,       0 ,,M
A-350Zh,A-350               ,SKB30,2, 17.9 , 2.57 ,    32.0 ,       0 ,,M
A-925,A-350               ,FAKEL,2, 19.8 , 2.57 ,    33.0 ,       0 ,,M
Nudol',A-350               ,ALMAN,2, 19.0 , 2.60 ,    33.0 ,       0 ,,M
Hwasong-17,Hwasong-15          ,KPA,2, 25.0 , 2.60 ,   100.0 ,       0 ,    3200 ,M
Epsilon,H2.SRB              ,JAXA,4, 24.4 , 2.50 ,    91.0 ,       0 ,    2250 ,O
UR-100N,UR-100N             ,KHRU,2, 18.9 , 2.50 ,    50.0 ,       0 ,,M
UR-100NU 15A35,UR-100N             ,KHRU,3, 24.3 , 2.50 ,   105.6 ,       0 ,    1870 ,M
UR-100NU 15A35P,UR-100N             ,KHRU,3, 24.3 , 2.50 ,   105.6 ,       0 ,    1870 ,M
UR-100NU 15A35S,UR-100N             ,KHRU,3, 24.3 , 2.50 ,   105.6 ,       0 ,    1870 ,M
Strela,UR-100N             ,NPOMA,3, 29.2 , 2.50 ,   105.0 ,    1400 ,,O
Rokot,UR-100N             ,KHRU,3, 29.0 , 2.50 ,   107.0 ,    1850 ,    1870 ,O
M-V,MV                  ,NISST,3, 30.7 , 2.50 ,   139.0 ,    1800 ,    3786 ,O
Thor DM-18,Thor                ,DACM,1, 19.8 , 2.44 ,    48.5 ,       0 ,     710 ,M
Thor DM-18A,Thor                ,DACM,1, 19.4 , 2.44 ,    48.9 ,       0 ,     668 ,M
Thor DM-18C,Thor                ,DACM,1, 22.0 , 2.44 ,    48.5 ,       0 ,     734 ,M
Thor Able,Thor                ,DACM,2, 24.8 , 2.44 ,    48.3 ,       0 ,     668 ,M
Thor Able I,Thor                ,DACM,3, 26.9 , 2.44 ,    52.0 ,      50 ,     710 ,O
Thor Able II,Thor                ,DACM,2, 27.3 , 2.44 ,    52.0 ,,     668 ,M
Thor Able III,Thor                ,DACM,3, 27.4 , 2.44 ,    52.0 ,     100 ,     668 ,O
Thor Able IV,Thor                ,DACM,3, 27.2 , 2.44 ,    52.0 ,     100 ,     668 ,O
Thor Ablestar,Thor                ,DACM,2, 23.5 , 2.44 ,    53.0 ,     150 ,     668 ,O
Thor Agena A,Thor                ,DACM,2, 24.0 , 2.44 ,    53.1 ,     250 ,     670 ,O
Thor Agena B,Thor                ,DACM,2, 23.4 , 2.44 ,    56.5 ,,     670 ,O
Thor Agena D,Thor                ,DACM,2, 23.4 , 2.44 ,    56.5 ,,     743 ,O
Thor SLV-2 Agena B,Thor                ,DACM,2, 27.2 , 2.44 ,    56.5 ,,     756 ,O
Thor SLV-2 Agena D,Thor                ,DACM,2, 27.2 , 2.44 ,    56.5 ,,     756 ,O
Thor SLV-2A Agena B,Thor                ,DACM,2, 27.2 , 2.44 ,    67.8 ,,    1475 ,O
Thor SLV-2A Agena D,Thor                ,DACM,2, 27.2 , 2.44 ,    67.8 ,,    1475 ,O
Thorad SLV-2G Agena D,Thor                ,DACM,2, 32.9 , 2.44 ,    91.4 ,    1500 ,    1444 ,O
Thorad SLV-2H Agena D,Thor                ,DACM,2, 32.9 , 2.44 ,    91.4 ,    1500 ,    1444 ,O
Thor Delta,Thor                ,DACM,3, 27.5 , 2.44 ,    50.7 ,     226 ,     734 ,O
Thor Delta A,Thor                ,DACM,3, 27.5 , 2.44 ,    51.0 ,     250 ,     756 ,O
Thor Delta B,Thor                ,DACM,3, 27.5 , 2.44 ,    51.8 ,     370 ,     756 ,O
Thor Delta C,Thor                ,DACM,3, 27.5 , 2.44 ,    52.0 ,     400 ,     756 ,O
Thor Delta C1,Thor                ,DACM,3, 27.5 , 2.44 ,    52.0 ,     400 ,     756 ,O
Thor Delta D,Thor                ,DACM,3, 27.5 , 2.44 ,    64.7 ,     450 ,     756 ,O
