LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
Emad,Nodong              ,IR,1, 15.5 , 1.25 ,    17.5 ,       0 ,     255 ,B
Ghadr 1,Nodong              ,IR,1, 15.6 , 1.25 ,    16.0 ,       0 ,     255 ,B
Ghadr-110,Nodong              ,IR,1, 15.6 , 1.25 ,    16.0 ,       0 ,     255 ,B
Ghadr F,Nodong              ,IR,1, 15.9 , 1.25 ,    17.5 ,       0 ,     255 ,B
Toufan,Nodong              ,IR,1, 15.9 , 1.25 ,    17.5 ,       0 ,     255 ,B
Safir,Nodong              ,IR,2, 22.0 , 1.25 ,    26.0 ,       0 ,     255 ,B
Qased,Nodong              ,IR,3, 18.0 , 1.25 ,    19.4 ,       0 ,     255 ,B
Paektusan 1,Nodong              ,KPA,3, 25.8 , 1.25 ,    33.4 ,      50 ,     570 ,O
Ghauri,Nodong              ,KRLP,1, 16.0 , 1.25 ,    16.0 ,       0 ,     255 ,B
Scud D,Nodong              ,KPA,1, 16.0 , 1.25 ,    16.0 ,       0 ,     255 ,B
AMROC IRR,AMROC               ,AMROC,1, 17.7 , 1.29 ,    12.2 ,       0 ,     315 ,R
GBI,Pegasus             ,OSCC,3, 15.5 , 1.28 ,    18.0 ,       0 ,     580 ,M
ALV,Pegasus             ,ATKE,2, 16.8 , 1.28 ,    15.0 ,,     580 ,R
Pegasus,Pegasus             ,OSCC,3, 15.5 , 1.28 ,    18.5 ,     350 ,     580 ,O
Pegasus/HAPS,Pegasus             ,OSCC,4, 15.5 , 1.28 ,    18.5 ,     250 ,     580 ,O
Pegasus H,Pegasus             ,OSCC,3, 15.5 , 1.28 ,    18.5 ,     350 ,     580 ,O
Pegasus XL,Pegasus             ,OSCC,3, 17.4 , 1.28 ,    23.0 ,     440 ,     726 ,O
Pegasus XL/HAPS,Pegasus             ,OSCC,4, 17.4 , 1.28 ,    23.0 ,     350 ,     726 ,O
